,product,sentiment,hashtags,clean_tweet
147,apple ipad,neutral,['sxsw'],anyone at sxsw know if apple will be or is selling ipad  there 
148,apple ipad,neutral,['sxsw'],anyone at sxsw know if the apple store has had a new shipment of ipads yet 
149,apple iphone,neutral,"['sxsw', 'iphone', 'edreform', 'edtech', 'eduvc', 'fightthepaddle']",marc ecko sxsw launches iphone app to autodial political change   edreform edtech eduvc fightthepaddle
150,apple iphone,positive,"['sxsw', 'iphone', 'lp', 'travel']", sxsw lonelyplanet austin guide for iphone is free for a limited time  lp travel
151,apple app,neutral,['sxsw'],more free sxsw mp downloads this time from itunes  
152,google,neutral,['sxsw'],anyone at sxsw or heading to aclu event seen owt to do with google circles then 
153,google,neutral,['sxsw'], sxsw prompt for memory go to google map and describe a childhood walk
154,apple ipad,positive,['sxsw'],the apple sxsw store still has ipad  and short lines 
156,google other,positive,['sxsw'],just left sxsw tradeshow demo of  at the google theatre ok i get it i see why all the presenters here are using it 
157,google,neutral,['sxsw'],following sxsw tweets on google realtime four platforms on tweet deck and listening to panel realizing i'm spoken to no one here today 
158,apple ipad,neutral,['sxsw'],anyone at sxsw want an ipad  i'm in line and will pick one up for someone willing to pay me  for me to grab  for you 
159,apple ipad,positive,"['sxsw', 'ipad2']",anyone at sxsw want to make a quick hundred dollars new ipad from ad hoc apple store here gets hundred plus cost 
160,apple iphone,neutral,['sxsw'],solving a sxsw induced iphone in toilet crisis at apple store with  not my crisis for once 
161,google,positive,['sxsw'],monday at sxsw barry diller new york times congress lunch w hotel party google party six dirty martinis how mondays should be 
162,apple app,neutral,"['sxsw', 'lp']",attending sxsw austin guide by  is now free to download on itunes   lp
163,apple app,negative,['sxsw'],seriously sxsw did you do any testing on the mobile apps constant ipad crashes causing lost schedules and no sync for wp 
164,apple app,positive,"['sxsw', 'sxsw', 'sxswi']",ready for sxsw  here are some iphone apps  make ur blogging easier   sxsw sxswi
165,apple ipad,negative,['sxsw'],ipad and sxsw  a conflagration of doofusness  
166,apple,positive,"['sxsw', 'sxsw']",attention sxsw'ers    rumored pop up temporary apple store for all your sxsw ipad  launch needs 
167,apple ipad,positive,"['sxswi', 'ipad', 'sxsw']",i went to sxswi and all i won was this lousy ipad sxsw     
169,apple ipad,neutral,"['sxswi', 'sxsw']",attending sxswi work in iphone  ipad game development looking to hire an austin based ios developer i'm your man let talk  sxsw
170,android,positive,"['winning', 'android', 'google', 'sxsw']",this is a winning picture android google sxsw 
171,google,neutral,['sxsw'],gsd m  google    rt  what the best party to hit tonight  sxsw  
172,google,neutral,['sxsw'],gsd m  google industry party sxsw  great to meet you  
173,apple ipad,negative,"['ipad2', 'sxsw']",you spent     to come to sxsw  you have already used ipad   the wait is a couple city blocks  why  ipad  sxsw 
174,apple iphone,positive,"['sxsw', 'protip']",behind on  s of emails give them all  line iphone composed replies  sxsw protip
175,apple ipad,positive,['sxsw'],it like  pm at night and there is a line around the block at the popup apple stores selling ipad s  sxsw
177,google,neutral,['sxsw'],more than   million mobile users for google maps for mobile sxsw
178,apple,neutral,['sxsw'],currently   people in line at the pop up apple store  sxsw
179,apple ipad,neutral,['sxsw'],only ipad  available at sxsw is the  gb wifi only model at    plus the optional not  leather smart cover at  
181,apple ipad,neutral,"['sxsw', 'sxswi']",less than  hours until we announce the details on the ipad  giveaway  sxsw sxswi
182,apple ipad,negative,['sxsw'],i'm up to  ipad s seen in the wild both people say it is fast but the still pics are terrible  sxsw
183,apple ipad,neutral,['sxsw'], the ipad  queue at sxsw of course
184,apple ipad,positive,"['ipad', 'sxsw']",the ipad  takes over sxsw video  by  
185,apple ipad,positive,['sxsw'],many ipad  snapping away at the keynote slides  sxsw
186,apple,neutral,"['winning', 'sxsw']",apple has  m users' credit cards sync'd with itunes for one click purchase   winning sxsw
187,google,neutral,"['cnngrill', 'sxsw']",having my nd cocktail texas snowflake    google it  at the cnngrill sxsw
188,apple app,positive,"['sxsw', 'sxswi']",new post  iphone apps we will be using at south by southwest interactive  sxsw sxswi
189,apple iphone,neutral,"['sxsw', 'sxswi']",new post  iphone apps we will be using at south by southwest interactive sxsw sxswi 
190,google other,positive,['sxsw'],sweet new  d google maps demo going on in ballroom d sxsw
191,google other,positive,['sxsw'],more than  million miles per day are driving with google maps navigation  sxsw
192,apple ipad,neutral,"['ipad2', 'sxsw']",rt ' it  p m and the ipad line at the apple store is longer and wider   about   people only one more hour ' sxsw
193,apple iphone,neutral,['sxsw'],u  smart  packing an extra  rt  on my way to sunny austin for sxsw extra iphone in stow just in case   
194,google,neutral,"['sxsw', 'lbswars']",wonder if sqwill attempt to block gowalla cross checkins the way facebook blocked google contacts connections  sxsw lbswars
196,apple,neutral,['sxsw'],wandering th street with the girls stopped for ceviche mojitos apple juice  ice cream  sxsw
197,android app,positive,['sxsw'],if you're a band at sxsw and want to share a track with your audience from stage use frostwire for android if there wi fi available
198,google,neutral,"['google', 'sxsw']",we have got a busy week ahead our new book on google apps will be available on amazon  we're attending sxsw
199,apple ipad,neutral,['sxsw'],i believe a few went to aussies at sxsw rt  ipad  sold out   went to new buyers report   
200,google,neutral,"['sxsw', 'sxsw']",   a google spreadsheet of over   parties at sxsw this year o o   plan on going to sxsw party on
201,apple,neutral,['sxsw'],there was a guy in line for apple pop up store on sixth street in austin  i'm that guy  he told me  sxsw
202,apple app,positive,"['sxsw', 'shareable']",if u have a iphone you do not need a car' use zimride etc to share rides sxsw shareable
203,apple ipad,neutral,['sxsw'],i have seen a lot of tablets here every single one of them is an ipad  sxsw
204,apple iphone,neutral,['sxsw'],receiving a lot of  messages telling me i'm sexy in response to my post looking to meet fellow christian iphone devs at sxsw
205,apple iphone,positive,['sxsw'],picked up a mophie battery case  my iphone in prep for sxsw not lugging around a laptop  only using my phone was a huge win last year 
206,google,neutral,['sxsw'],now thats a news p rt google to launch major new social network called circles possibly today  sxsw
207,apple ipad,neutral,['sxsw'],just took a piss at the trade show ipad in one hand iphone in the other pissing i am kiiiiiilling it right now  sxsw
208,google other,positive,"['google', 'circles', 'sxsw', 'socbiz', 'fb']",not to be a rumor monger but this was a good read   google circles preview  sxsw  by  via  socbiz fb
209,apple iphone,neutral,['sxsw'],hobo with a shotgun iphone game  sxsw
210,apple app,positive,['sxsw'],hobo with a shotgun video game coming to ipad iphone users  yes please   sxsw
211,apple,positive,"['apple', 'sxsw', 'ipad2']",build out a store in less than  hours and have one of the biggest launches in this company history  we got this  apple sxsw ipad 
212,apple iphone,neutral,"['sxsw', 'gsdm']",just took a survey on iphone while in starbucks line got a free starbucks gift card instant research instant gratification  sxsw gsdm
213,apple ipad,neutral,"['sxsw', 'sxswi', 'ipad2']",apple has a temporary retail store in austin for the ipad  release today opens at pm  sxsw sxswi ipad 
214,apple app,positive,"['groupme', 'sxsw']",just read about groupme at sxsw  sounds like an incredible app is it available for android phones yet 
215,google,neutral,['sxsw'],wondering about circles  google to reveal a new social network at sxsw 
216,google,neutral,['sxsw'],google is about search but local' marissa mayer sxsw
217,google,neutral,"['sxsw', 'austin']",wondering about street closures during sxsw we made a google map to show you   sxsw austin
218,google,neutral,"['sxsw', 'google']",is google about to have another go at social with google circles  sxsw google
219,apple ipad,neutral,['sxsw'],questions about what inside the ipad  fire them my way  sxsw
220,apple iphone,neutral,"['eduar', 'sxsw']",paraormal activity sanctuary iphone game sketching your ar experience interactivity through magic lense  eduar sxsw
221,apple,neutral,['sxsw'],apple iie ad in the '  si swimsuit issue at a garage sale sxsw 
222,apple,neutral,"['apple', 'socialsearch', 'sxsw']",flipboard adds instagram photos and social search apps   apple socialsearch sxsw
224,apple iphone,negative,['sxsw'],if iphone alarms botch the timechange how many sxsw'ers freak late to flights missed panels behind on bloody marys  
225,apple ipad,positive,['sxsw'],shouts to all the ladies holding up their ipad  at free sxsw shows to take photos while sipping free beer  cc  
226,google,neutral,['sxsw'],dj hoodie allen with all due respect you should probably make your way back to google sxsw
227,apple iphone,negative,"['sxsw', 'dyac']",i meant i also wish i at sxsw dyac stupid iphone 
228,google,unknown,['sxsw'],just what america needs rt  google to launch major new social network called circles possibly today  sxsw
229,apple ipad,neutral,"['ipad', 'sxsw', 'bum', 'begger', 'us', 'socialart', 'documentally']",audioboo american dream or bust  ipad sxsw bum begger us socialart documentally
230,android,neutral,"['sxsw', 'mashable', 'sxswi']",skifta is an app based media shifting service that turns your android phone into a    sxsw mashable sxswi 
231,apple,positive,['sxsw'],rumors of an apple store opening for sxsw at th  congress all signs point to yes  
232,apple,neutral,['sxsw'],what does an apple security guy after he locks up the store    sxsw  
233,apple,neutral,['sxsw'],what does an apple security guy after he locks up the store    sxsw  the realtime sxsw s   curated by 
234,apple ipad,neutral,['sxsw'],how i got an ipad  during sxsw   cc 
235,apple ipad,positive,['sxsw'],picked up an ipad  at the sxsw pop up apple store only  minute wait 
236,google,positive,['sxsw'],brilliant and enlightening game mechanics presentation by  from google sxsw
237,google,neutral,"['sxsw', 'gsdm']",gsd m and google   sitting in a tree  sxsw gsdm
238,apple ipad,neutral,"['unsix', 'sxsw']",and here a pic of you winning your ipad  unsix sxsw cc     cont  
239,apple iphone,neutral,['sxsw'],my iphone and i are both very thirsty  sxsw  chevy volt lounge w   others  
240,apple iphone,neutral,['sxsw'],my iphone and i are both very thirsty  sxsw  chevy volt lounge w   others   
241,apple iphone,neutral,['sxsw'],i came in and left sxsw with my iphone playing the same song chosen at random skream listening to the records on my wall appropriate 
242,apple,positive,"['apple', 'sxsw']",marketing and sales genius   apple sxsw
243,android,neutral,"['sxsw', 'smartthings']",arduino  android  flaming skulls  refrigerator speaks  salon k   pm   sxsw smartthings
244,android,neutral,['sxsw'],reminder android and chrome tts talk   pm today    sxsw
245,apple ipad,neutral,['sxsw'],ipad  vs android vs the world  panel at sxsw today   pm by  
246,google,neutral,"['sxsw', 'sxswi']",backupify announces cloudsight search the first searchable archive solution for social media and google apps sxsw sxswi 
247,google,neutral,['sxsw'],google is announcing a social network circles  via sxsw tweets  interesting myopia will cause buzz jokes but this is interesting 
248,apple iphone,positive,['sxsw'],do i need any more for sxsw ipad iphone laptop dictaphone vid camera   wow love to meet the real 'cerebellum' charged people 
249,google,neutral,['sxsw'],did u see anything on google circles at the sxsw   
250,apple app,positive,['sxsw'],the sxsw app for my iphone is ridiculous it my personal planner for the next  days 
251,android,neutral,"['sxsw', 'android']",our sxsw app is now on android d huge props to      get it now  
252,apple app,negative,"['batterykiller', 'sxsw']",found the app kyping my iphone geolocation  not releasing when in background need a patch   batterykiller sxsw
253,apple app,positive,"['sxsw', 'scoremore']",the sxsw app on the iphone is live rsvp for events from your phone  check out sundayswagger eventbrite com    scoremore
254,apple iphone,neutral,['sxsw'],my iphone app screen for sxsw what am i missing   
255,android app,positive,"['android', 'sxsw']",love this app so awesome rt  must see android app at sxsw bizzy  
256,apple,neutral,['sxsw'],the sxsw apple pop up store was nuts was still packed at     
257,apple,neutral,['sxsw'],say what apple sxsw popup store in austin    
258,apple ipad,neutral,"['ipad2', 'sxsw']",breaking apple announces partnership w porn industry for new ipad video chat app called  o facetime  sxsw
259,apple,negative,"['sxsw', 'pickmeupanipad2']",of course apple built a temp store in austin it texas they understand the concept of corralling cattle sxsw pickmeupanipad 
260,apple,positive,['sxsw'],love that apple did not let something like not having a retail store near sxsw keep them away by opening a pop up store 
261,apple,positive,"['sxsw', 'cnet']",surprise apple has opened a pop up store in austin so that the nerds in town for sxsw can get their new    cnet
262,apple ipad,positive,"['sxsw', 'cnet']",surprise apple has opened a pop up store in austin so that the nerds in town for sxsw can get their new ipads   cnet
263,apple ipad,neutral,['sxsw'],surprise apple has opened a pop up store in austin so that the nerds in town for sxsw can get their new ipads http  
264,apple,positive,['sxsw'],surprise apple has opened a pop up store in austin so that the nerds in town for sxsw can get their new ipads   
265,apple ipad,neutral,"['technews', 'tech_news', 'apple', 'ipad_2', 'rance_wilemon', 'sxsw', 'tech']", technews apple heads to sxsw sets up temporary store in austin  tech news apple ipad  rance wilemon sxsw tech
266,apple,positive,['sxsw'],   apple is a great example of a retail store layed out for the future  no 'registers' no 'checkout line'  sxsw
267,apple,positive,"['sxsw', 'gswsxsw']",   apple is opening up a temporary store in downtown austin for sxsw and the ipad  launch  gswsxsw
268,apple,negative,['sxsw'],   apple is opening up a temporary store in downtown austin for sxsw and the ipad  launch oh yay more traffic 
269,apple ipad,positive,['sxsw'],the sxsw apple popup store is open at noon has a fresh shipment of ipad  and i'm pretty sure i'm going to get one  fingers crossed 
270,apple,positive,"['technews', 'tech_news', 'apple', 'sxsw', 'tech']", technews apple saves sxsw set to open pop up store  tech news apple sxsw tech
271,apple,neutral,['sxsw'],at sxsw apple schools the marketing experts  
272,apple,positive,['sxsw'],at sxsw apple schools the marketing experts 
273,apple,positive,['sxsw'],at sxsw apple schools the marketing experts  via 
274,apple,positive,['sxsw'],at sxsw apple schools the marketing experts  via   true love or loathe them no one does marketing like them 
275,apple,positive,['sxsw'],at sxsw apple schools the marketing experts  cnet  
276,apple,positive,"['sxsw', 'austin', 'atx', 'retail']",at sxsw apple schools the marketing experts  cnet blogs  austin atx retail
277,apple,positive,['sxsw'],   apple store downtown austin open til midnight  sxsw   there still time  
278,apple ipad,neutral,['sxsw'],   apple store downtown austin open til midnight  sxsw  any ipad left in stock 
279,apple,neutral,"['sxsw', 'austin']",apple store on congress   sxsw austin
280,apple,negative,['sxsw'], the apple store at the mall on sunday is  x as crowded as this this line is fake i just need a fucking dongle  genius let me in  sxsw
281,apple,neutral,['sxsw'], wks only apple store in th austin street is now opened  sxsw
282,apple ipad,neutral,"['apple', 'ipad2', 'sxsw', 'fb']",a special apple store opening at th and congress for sxsw  ipad  launch   apple ipad  sxsw fb
